Year,State,Place,Name,Latitude,Longitude,geometry
2015,Kelantan,Kuala Krai,"Kuala Krai, Kelantan",5.4246182,102.1522508,POINT (102.1522508 5.4246182)
2015,Kelantan,Manek Urai,"Manek Urai, Kelantan",5.3883848,102.2334773,POINT (102.2334773 5.3883848)
2015,Sabah,Beaufort,"Beaufort, Sabah",5.3458088,115.7438739,POINT (115.7438739 5.3458088)
2015,Sabah,Tenom,"Tenom, Sabah",4.9104025,115.9050951,POINT (115.90509510239758 4.9104025)
2015,Sabah,Membakut,"Membakut, Sabah",5.4752882,115.8034703,POINT (115.8034703 5.4752882)
2016,Negeri Sembilan,Gemencheh,"Gemencheh, Negeri Sembilan",2.5301446,102.4001362,POINT (102.4001362 2.5301446)
2016,Sarawak,Kuching,"Kuching, Sarawak",1.5574127,110.3439862,POINT (110.3439862 1.5574127)
2017,Selangor,Hulu Langat,"Hulu Langat, Selangor",3.083333,101.833333,POINT (101.833333 3.083333)
2017,Perak,Batang Padang,"Batang Padang, Perak",4.0833333,101.3333333,POINT (101.3333333 4.0833333)
2017,Melaka,Alor Gajah,"Alor Gajah, Melaka",2.3834528,102.2107805,POINT (102.2107805 2.3834528)
2017,Melaka,Jasin,"Jasin, Melaka",2.3058097,102.422339,POINT (102.422339 2.3058097)
2017,Johor,Johor Bahru,"Johor Bahru, Johor",1.503555,103.7495586,POINT (103.7495586 1.503555)
2017,Sabah,Kota Belud,"Kota Belud, Sabah",6.3497629,116.4292891,POINT (116.4292891 6.3497629)
2017,Sabah,Sipitang,"Sipitang, Sabah",5.0761521,115.54973,POINT (115.54973 5.0761521)
2017,Sabah,Sungai Kadamaian,"Sungai Kadamaian, Sabah",6.1434752,116.4500668,POINT (116.4500668 6.1434752)
2020,Sarawak,Betong,"Betong, Sarawak",1.47972915,111.474787,POINT (111.47478700618396 1.47972915)
2020,Perak,Slim River,"Slim River, Perak",3.8310714,101.402618,POINT (101.402618 3.8310714)
2020,Johor,Muar,"Muar, Johor",2.05,102.5666667,POINT (102.5666667 2.05)
2020,Johor,Batu Pahat,"Batu Pahat, Johor",1.933333,103,POINT (103 1.933333)
2020,Johor,Tangkak,"Tangkak, Johor",2.25,102.5833333,POINT (102.5833333 2.25)
2020,Johor,Kluang,"Kluang, Johor",2.0313889,103.3175,POINT (103.3175 2.0313889)
2020,Johor,Pontian,"Pontian, Johor",1.5,103.5,POINT (103.5 1.5)
2021,Terengganu,Dungun,"Dungun, Terengganu",4.7643972,103.4184463,POINT (103.4184463 4.7643972)
2021,Terengganu,Kemaman,"Kemaman, Terengganu",4.239674,103.1914299,POINT (103.191429899754 4.239674)
2021,Sabah,Kinabalu City,"Kinabalu City, Sabah",5.9957912,116.1076861,POINT (116.10768609559767 5.9957912)
2021,Selangor,Hulu Selangor,"Hulu Selangor, Selangor",3.5367441,101.5949347,POINT (101.5949347 3.5367441)
2021,Selangor,Klang,"Klang, Selangor",3.083333,101.416667,POINT (101.416667 3.083333)
2021,Kelantan,Gua Musang,"Gua Musang, Kelantan",5.0198136,102.0382663,POINT (102.0382663 5.0198136)
2021,Sabah,Kota Marudu,"Kota Marudu, Sabah",6.4951419,116.7617535,POINT (116.7617535 6.4951419)
