Year,State,Place,Name
2015,Kelantan,Kuala Krai,"Kuala Krai, Kelantan"
2015,Kelantan,Manek Urai,"Manek Urai, Kelantan"
2015,Sabah,Beaufort,"Beaufort, Sabah"
2015,Sabah,Tenom,"Tenom, Sabah"
2015,Sabah,Membakut,"Membakut, Sabah"
2016,Negeri Sembilan,Gemencheh,"Gemencheh, Negeri Sembilan"
2016,Sarawak,Kuching,"Kuching, Sarawak"
2017,Selangor,Hulu Langat,"Hulu Langat, Selangor"
2017,Perak,Batang Padang,"Batang Padang, Perak"
2017,Melaka,Alor Gajah,"Alor Gajah, Melaka"
2017,Melaka,Jasin,"Jasin, Melaka"
2017,Johor,Johor Bahru,"Johor Bahru, Johor"
2017,Sabah,Kota Belud,"Kota Belud, Sabah"
2017,Sabah,Sipitang,"Sipitang, Sabah"
2017,Sabah,Sungai Kadamaian,"Sungai Kadamaian, Sabah"
2020,Sarawak,Betong,"Betong, Sarawak"
2020,Perak,Slim River,"Slim River, Perak"
2020,Johor,Muar,"Muar, Johor"
2020,Johor,Batu Pahat,"Batu Pahat, Johor"
2020,Johor,Tangkak,"Tangkak, Johor"
2020,Johor,Kluang,"Kluang, Johor"
2020,Johor,Pontian,"Pontian, Johor"
2021,Terengganu,Dungun,"Dungun, Terengganu"
2021,Terengganu,Kemaman,"Kemaman, Terengganu"
2021,Sabah,Kinabalu City,"Kinabalu City, Sabah"
2021,Selangor,Hulu Selangor,"Hulu Selangor, Selangor"
2021,Selangor,Klang,"Klang, Selangor"
2021,Kelantan,Gua Musang,"Gua Musang, Kelantan"
2021,Sabah,Kota Marudu,"Kota Marudu, Sabah"
2021,Sabah,Kudat,"Kudat, Sabah"
2021,Sabah,Pitas,"Pitas, Sabah"
2021,Sarawak,Samarahan,"Samarahan, Sarawak"
2021,Sarawak,Serian,"Serian, Sarawak"
2021,Pahang,Kuantan,"Kuantan, Pahang"
2021,Pahang,Raub,"Raub, Pahang"
2021,Sarawak,Kuching,"Kuching, Sarawak"
2021,Sarawak,Limbang,"Limbang, Sarawak"
2021,Sarawak,Penampang,"Penampang, Sarawak"
2021,Perak,Bandar Baharu,"Bandar Baharu, Perak"
2021,Perak,Hilir Perak,"Hilir Perak, Perak"
2021,Perak,Larut Dan Matang,"Larut Dan Matang, Perak"
2021,Selangor,Sepang,"Sepang, Selangor"
2021,Pulau Pinang,Seberang Perai Selantan,"Seberang Perai Selantan, Pulau Pinang"
2021,Kedah,Yan,"Yan, Kedah"
2021,Sabah,Beaufort ,"Beaufort , Sabah"
2021,Johor,Johor Bahru,"Johor Bahru, Johor"
2021,Sarawak,Miri,"Miri, Sarawak"
2021,Sabah,Beaufort,"Beaufort, Sabah"
2021,Selangor,Gombak,"Gombak, Selangor"
2021,Selangor,Kota Belud,"Kota Belud, Selangor"
2021,Selangor,Kuala Selangor,"Kuala Selangor, Selangor"
2021,Kedah,Baling,"Baling, Kedah"
2021,Perak,Kuala Kangsar,"Kuala Kangsar, Perak"
2021,Kedah,Sik,"Sik, Kedah"
2021,Kedah,Baling,"Baling, Kedah"
2021,Perak,Kuala Kangsar,"Kuala Kangsar, Perak"
2021,Johor,Kulaijaya,"Kulaijaya, Johor"
2021,Kedah,Padang Terap,"Padang Terap, Kedah"
2021,Kedah,Sik,"Sik, Kedah"
2021,Melaka,Alor Gajah,"Alor Gajah, Melaka"
2021,Melaka,Jasin,"Jasin, Melaka"
2021,Perak,Larut Dan Matang,"Larut Dan Matang, Perak"
2021,Melaka,Melaka Tengah,"Melaka Tengah, Melaka"
2021,Negeri Sembilan,Port Dickson,"Port Dickson, Negeri Sembilan"
2021,Selangor,Sepang,"Sepang, Selangor"
2021,Kedah,Baling ,"Baling , Kedah"
2021,Kedah,Pendang,"Pendang, Kedah"
2021,Melaka,Alor Gajah,"Alor Gajah, Melaka"
2021,Kedah,Baling,"Baling, Kedah"
2021,Kedah,Kota Setar,"Kota Setar, Kedah"
2021,Kedah,Kubang Pasu,"Kubang Pasu, Kedah"
2021,Kedah,Pendang,"Pendang, Kedah"
2021,Johor,Pontian,"Pontian, Johor"
2021,Johor,Batu Pahat,"Batu Pahat, Johor"
2021,Sarawak,Kuching,"Kuching, Sarawak"
2021,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2021,Sabah,Kota Marudu,"Kota Marudu, Sabah"
2021,Sabah,Pitas,"Pitas, Sabah"
2021,Terengganu,Dungun,"Dungun, Terengganu"
2021,Kelantan,Gua Musang,"Gua Musang, Kelantan"
2021,Terengganu,Setiu,"Setiu, Terengganu"
2021,Melaka,Alor Gajah,"Alor Gajah, Melaka"
2021,Kelantan,Bachok,"Bachok, Kelantan"
2021,Perak,Batang Padang,"Batang Padang, Perak"
